epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1269.73,0.95674,0.92027,1.38334,0.88285,0.75,0.82147,0.57201,0.99807,1.18765,1.74863,0.000495266,0.000495266,0.000495266
73,1288.91,0.92231,0.93496,1.42483,0.78292,0.80595,0.82827,0.58391,0.9571,1.1638,1.69023,0.000478762,0.000478762,0.000478762
74,1307.93,0.86609,0.87675,1.32239,0.81964,0.81083,0.828,0.59427,0.96327,1.16172,1.69939,0.000462259,0.000462259,0.000462259
75,1326.1,0.91834,0.94707,1.36268,0.78202,0.77274,0.80264,0.56629,1.02202,1.16283,1.75182,0.000445756,0.000445756,0.000445756
76,1342.89,0.86704,0.8883,1.40495,0.88058,0.71429,0.79915,0.56032,1.06622,1.14242,1.78171,0.000429253,0.000429253,0.000429253
77,1357.89,0.94604,0.96463,1.40013,0.7573,0.83255,0.83959,0.55931,1.05737,1.11352,1.75865,0.000412749,0.000412749,0.000412749
78,1372.09,0.97695,0.90011,1.42656,0.78964,0.7939,0.86133,0.57827,1.03675,1.09563,1.73261,0.000396246,0.000396246,0.000396246
79,1388.13,0.99038,0.97645,1.41902,0.87484,0.80913,0.87385,0.59224,0.99528,1.07755,1.67473,0.000379743,0.000379743,0.000379743
80,1410.37,0.8709,0.93192,1.38762,0.85217,0.80302,0.86362,0.59316,0.95538,1.08736,1.64166,0.000363239,0.000363239,0.000363239
81,1427.62,0.86877,0.8944,1.35237,0.82446,0.8306,0.85957,0.60823,0.96791,1.09303,1.66687,0.000346736,0.000346736,0.000346736
82,1447.26,0.85322,0.83525,1.26621,0.85584,0.81729,0.86285,0.61444,0.9936,1.08138,1.7051,0.000330233,0.000330233,0.000330233
83,1468.44,0.73982,0.80258,1.23583,0.78299,0.78571,0.83767,0.58882,1.03078,1.08264,1.75818,0.000313729,0.000313729,0.000313729
84,1484.58,0.79797,0.88863,1.33141,0.88897,0.75,0.81699,0.56243,1.07319,1.08098,1.82567,0.000297226,0.000297226,0.000297226
