perimeter,area,height,width,shape_index,compactness,weight
345.42135429382324,7528.0,82,112,136.58536585365854,0.792850143769326,50.0
346.5929260253906,7675.0,85,112,131.76470588235293,0.8028767084589978,54.0
342.4924213886261,7728.5,90,110,122.22222222222223,0.8279481563274066,54.0
336.97770285606384,7454.5,90,105,116.66666666666667,0.8249470090000793,54.0
371.56348943710327,8898.0,92,120,130.43478260869566,0.8099089530740351,64.0
366.4924222230911,8700.5,93,119,127.95698924731182,0.8139993847005857,62.0
362.3919163942337,8645.0,91,118,129.67032967032966,0.8272139665506372,60.0
358.4924215078354,8298.5,91,115,126.37362637362637,0.8114270922898942,60.0
370.97770297527313,8690.5,89,122,137.07865168539325,0.7935220738741329,62.0
349.90663611888885,8001.0,89,116,130.3370786516854,0.8212015797868615,58.0
352.5929262638092,8106.0,88,118,134.0909090909091,0.8193496508859474,58.0
351.66399443149567,8284.5,89,120,134.8314606741573,0.8418221655120587,60.0
361.4213536977768,8519.0,89,122,137.07865168539325,0.8195413406292282,60.0
367.07820785045624,8801.0,92,119,129.34782608695653,0.8207760579292027,64.0
369.80612897872925,8739.5,91,121,132.96703296703296,0.8030604566254628,62.0
372.7350618839264,8979.0,91,122,134.06593406593404,0.8121520429502661,64.0
353.421355843544,8240.0,88,119,135.22727272727272,0.8289942121663948,60.0
365.3208487033844,8461.5,89,118,132.58426966292134,0.796724747014227,58.0
357.90663480758667,8372.0,87,120,137.93103448275863,0.82129576805748,60.0
365.90663504600525,8470.0,89,120,134.8314606741573,0.7949735970818398,60.0
355.1787132024765,8267.5,88,119,135.22727272727272,0.8235504496818601,60.0
350.4924215078354,8107.5,90,115,127.77777777777777,0.8293532627452845,58.0
362.977703332901,8496.5,92,116,126.08695652173914,0.8103824533160272,62.0
354.97770285606384,8308.5,91,114,125.27472527472527,0.8285721637798384,62.0
360.24978137016296,8324.0,89,117,131.46067415730337,0.8059989642638593,60.0
367.66399443149567,8679.5,90,122,135.55555555555557,0.8068677718244224,62.0
376.6345567703247,8948.5,90,124,137.77777777777777,0.7927199301408157,62.0
348.3502846956253,8025.5,87,115,132.183908045977,0.8310929982250123,58.0
356.7350616455078,8349.0,90,118,131.11111111111111,0.8244279996348516,60.0
359.66399562358856,8362.5,89,120,134.8314606741573,0.812366611401691,60.0
365.906635761261,8481.0,89,118,132.58426966292134,0.7960060272128187,60.0
357.32084798812866,8492.5,88,122,138.63636363636365,0.8358506944215981,60.0
365.3208477497101,8593.5,88,123,139.77272727272728,0.8091537137875435,60.0
369.806129693985,8659.5,90,119,132.22222222222223,0.7957093652094309,62.0
361.2203423976898,8588.0,91,118,129.67032967032966,0.827099007875385,62.0
365.32084906101227,8463.5,90,118,131.11111111111111,0.7969130630683383,62.0
358.4924212694168,8379.5,89,117,131.46067415730337,0.8193472710594817,60.0
362.1492757797241,8533.5,89,122,137.07865168539325,0.8176394073416363,60.0
365.9066356420517,8557.0,91,119,130.76923076923077,0.8031392028414452,62.0
370.97770369052887,8693.5,90,120,133.33333333333331,0.7937959982306911,62.0
356.7350616455078,8389.0,90,119,132.22222222222223,0.8283778283551049,60.0
372.14927554130554,8858.5,91,121,132.96703296703296,0.8037772276542547,62.0
372.1492757797241,8829.5,91,122,134.06593406593404,0.8011459076005955,62.0
364.73506104946136,8490.0,91,118,129.67032967032966,0.8019781358775232,62.0
366.49242091178894,8690.5,93,118,126.88172043010752,0.8130638128110026,64.0
372.1492751836777,8844.5,91,123,135.16483516483518,0.8025069372525008,64.0
376.6345571279526,8963.5,90,124,137.77777777777777,0.7940487322258777,62.0
363.56349074840546,8525.0,91,117,128.57142857142858,0.8104826501117414,62.0
351.6639955043793,8191.5,90,115,127.77777777777777,0.8323720474036619,60.0
352.9777030944824,8229.5,89,116,130.3370786516854,0.830020403181927,58.0
354.9777034521103,8130.5,89,117,131.46067415730337,0.8108209610626036,58.0
351.4213548898697,8040.0,88,118,134.0909090909091,0.8181060703382097,58.0
351.4629839658737,8045.5,89,115,129.21348314606743,0.8184717975763355,58.0
348.4924223423004,7881.5,86,118,137.2093023255814,0.8155152102800687,56.0
360.8355675935745,8168.5,85,122,143.52941176470588,0.7883761882120731,56.0
354.73506295681,8125.0,88,120,136.36363636363635,0.8113813085855305,58.0
346.7350628376007,8115.0,90,116,128.88888888888889,0.8482089804091543,58.0
356.7350616455078,8199.0,91,114,125.27472527472527,0.8096161419339021,58.0
348.2497808933258,8083.0,88,119,135.22727272727272,0.8375307074974296,58.0
341.07820773124695,7869.0,88,114,129.54545454545453,0.8500049696726505,56.0
347.5634891986847,7992.0,90,113,125.55555555555556,0.8313751559507545,58.0
349.07820773124695,7902.0,88,115,130.6818181818182,0.8148945520531701,56.0
347.5218588113785,7917.5,86,116,134.88372093023256,0.8238225643562113,56.0
345.17871379852295,7852.5,88,113,128.4090909090909,0.8281896462498654,58.0
340.35028529167175,7652.5,86,111,129.06976744186048,0.8301583954900678,54.0
351.66399347782135,7923.5,87,115,132.183908045977,0.8051394730656509,56.0
354.3919161558151,8168.0,90,117,130.0,0.8172557396798782,58.0
356.149276971817,8253.5,88,119,135.22727272727272,0.8176809608717909,58.0
350.2497810125351,8061.0,88,118,134.0909090909091,0.8257394626665636,58.0
341.66399455070496,7829.5,87,115,132.183908045977,0.8428406322946724,56.0
350.1076452732086,7928.0,87,114,131.0344827586207,0.8127749619968719,56.0
341.6639940738678,7744.5,88,113,128.4090909090909,0.83369043936723,56.0
349.6639931201935,8058.5,88,117,132.95454545454547,0.8282515333476704,58.0
